template,field_id,metric_id,adapter,implementation,outcome,evidence,blocker,note,within_template_observations,within_template_present_pass,within_template_present,within_template_entities
gas_storage,accum_prov_depreciation_gas_plant,accum_prov_depreciation_gas_plant,gas_xbrl,implemented,implemented_retrieved_validated,82 validated + 0 flagged values across 40 entities,,role=profile; regimes=Form 2;Form 2A,18,6,6,9
gas_storage,cap_reported_capacity,cap_reported_capacity,capacity,implemented,implemented_retrieved_validated,381 validated + 0 flagged values across 41 entities,,role=conditional; regimes=Form 549B Capacity,67,60,60,9
gas_storage,deliveries_of_gas_transported_for_others,deliveries_of_gas_transported_for_others,gas_xbrl,implemented,implemented_retrieved_validated,714 validated + 1 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,84,24,24,9
gas_storage,depreciation_expense,depreciation_expense,gas_xbrl,implemented,implemented_retrieved_validated,704 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,66,54,54,9
gas_storage,gas_account_balancing_total,gas_account_balancing_total,gas_xbrl,implemented,implemented_retrieved_validated,803 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,84,74,74,9
gas_storage,gas_delivered_by_utility,gas_delivered_by_utility,gas_xbrl,implemented,implemented_retrieved_validated,803 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,84,74,74,9
gas_storage,gas_losses_and_unaccounted_for,gas_losses_and_unaccounted_for,gas_xbrl,implemented,implemented_retrieved_validated,700 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,84,24,24,9
gas_storage,gas_of_others_received_for_transmission,gas_of_others_received_for_transmission,gas_xbrl,implemented,implemented_retrieved_validated,714 validated + 1 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,84,24,24,9
gas_storage,gas_operating_revenues,gas_operating_revenues,gas_xbrl,implemented,implemented_retrieved_validated,778 validated + 0 flagged values across 40 entities,,role=headline; regimes=Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas;Form 2;Form 2A,90,62,62,9
gas_storage,gas_plant_in_service,gas_plant_in_service,gas_xbrl,implemented,implemented_retrieved_validated,393 validated + 0 flagged values across 40 entities,,role=profile; regimes=Form 2;Form 2A;Form 3Q Gas,42,30,30,9
gas_storage,gas_received_by_utility,gas_received_by_utility,gas_xbrl,implemented,implemented_retrieved_validated,803 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,84,74,74,9
gas_storage,ioc_affiliate_share,ioc_affiliate_share,ioc,implemented,implemented_retrieved_validated,894 validated + 4 flagged values across 40 entities,,role=detail; regimes=Form 549B IOC,190,188,188,9
gas_storage,ioc_contracted_storage_quantity,ioc_contracted_storage_quantity,ioc,implemented,implemented_retrieved_validated,150 validated + 8 flagged values across 40 entities,,role=headline; regimes=Form 549B IOC,73,71,71,9
gas_storage,ioc_expiry_profile,ioc_expiry_profile,ioc,implemented,implemented_retrieved_validated,3031 validated + 13 flagged values across 40 entities,,role=headline; regimes=Form 549B IOC,637,635,635,9
gas_storage,ioc_firm_transport_mdq,ioc_firm_transport_mdq,ioc,implemented,implemented_retrieved_validated,295 validated + 18 flagged values across 40 entities,,role=headline; regimes=Form 549B IOC,73,21,34,9
gas_storage,ioc_identity_coverage,ioc_identity_coverage,ioc,implemented,implemented_retrieved_validated,447 validated + 2 flagged values across 40 entities,,role=detail; regimes=Form 549B IOC,96,94,94,9
gas_storage,ioc_mdq_change,ioc_mdq_change,ioc,implemented,implemented_retrieved_validated,258 validated + 25 flagged values across 40 entities,,role=trend; regimes=Form 549B IOC,73,18,30,9
gas_storage,ioc_points,ioc_points,ioc,implemented,source_exists_interpretation_blocked,0 validated + 1191 flagged values across 40 entities,,role=detail; regimes=Form 549B IOC,257,0,255,9
gas_storage,ioc_top5_shipper_concentration,ioc_top5_shipper_concentration,ioc,implemented,implemented_retrieved_validated,447 validated + 2 flagged values across 40 entities,,role=headline; regimes=Form 549B IOC,96,94,94,9
gas_storage,maintenance_expense,maintenance_expense,gas_xbrl,implemented,implemented_retrieved_validated,688 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,66,54,54,9
gas_storage,max_day_withdrawal,max_day_withdrawal,gas_xbrl,implemented,implemented_retrieved_validated,7 validated + 25 flagged values across 40 entities,,role=headline; regimes=Form 2,18,0,2,9
gas_storage,net_income,net_income,gas_xbrl,implemented,implemented_retrieved_validated,702 validated + 0 flagged values across 40 entities,,role=detail; regimes=Form 2;Form 2A;Form 3Q Gas;Form 3Q Gas,66,54,54,9
