canonical_row_id,filer_cid,filer_legal_name,asset_mapping,period_label,reporting_year,reporting_quarter,form,metric_id,controlled_display_label,concept_qname,concept_local_name,taxonomy_label,rendered_schedule_label,label_source,schedule_or_page,taxonomy_page_range,period_type,period_start,period_end,instant_date,regulatory_scope,value,normalized_iso_date,unit_filed,unit_rule,dimension_selector,dimensions_json,raw_or_derived,derivation,derived_metric_row_id,derivation_type,source_system,source_fact_id,source_context_id,source_candidate_count,filing_id,submitted_on,source_filing_canonical,input_version_status,data_origin,taxonomy_version,registry_rule_id,form_rule_pass,period_rule_pass,dimension_rule_pass,unit_rule_pass,qa_status,missing_reason,notes,input_count,derivation_inputs_available
raw-backhaul_throughput-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,backhaul_throughput,Backhaul volume of throughput,ferc:BackhaulVolumeOfThroughput,BackhaulVolumeOfThroughput,Backhaul Volume of Throughput,,taxonomy standard label linkbase,Form 2 p.521-M1 line 67 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system,5258962,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),undim (filed undimensioned total),,raw,,,,eCollection / eForms XBRL,1d06e4e5f1805503ce170a644f6c6da0c9253b82de8250553ce49f19902d4f22,c-01,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,backhaul_throughput,True,True,True,True,ferc_migrated,,,,
raw-deliveries_of_gas_transported_for_others-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,deliveries_of_gas_transported_for_others,Deliveries of gas transported for others (Account 489.2),ferc:QuantityOfNaturalGasDeliveredByUtilityDeliveriesOfGasTransportedForOthers,QuantityOfNaturalGasDeliveredByUtilityDeliveriesOfGasTransportedForOthers,"Quantity of Natural Gas Delivered by Utility, Deliveries of Gas Transported for Others",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 27 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - delivery-side third-party component,849989226,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,eCollection / eForms XBRL,848550a594d94ca73d139db22b82d20735324990217c74019dc8c812a7bfb766,c-156,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,deliveries_of_gas_transported_for_others,True,True,True,True,ferc_migrated,,,,
raw-gas_account_balancing_total-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_account_balancing_total,"Deliveries, gas losses and unaccounted-for (gas account balancing total)",ferc:DeliveriesGasLossesAndUnaccountedForGasAccount,DeliveriesGasLossesAndUnaccountedForGasAccount,"Deliveries, Gas Losses and Unaccounted for Gas Account",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 44 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - balancing total; equals total gas received,965347061,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,eCollection / eForms XBRL,ab2788a30d3820ccc06cf9eca7c6241a1d9c1371bc0e12a3d97fc0540facdc77,c-156,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_account_balancing_total,True,True,True,True,ferc_migrated,,,,
raw-depreciation_expense-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,depreciation_expense,Depreciation expense,ferc:DepreciationExpense,DepreciationExpense,Depreciation Expense,,taxonomy standard label linkbase,Form 2 p.336-338 / Form 3-Q,336-338,quarter (also YTD),2016-01-01,2016-03-31,,filing entity,42824474,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,eCollection / eForms XBRL,eca5b85c884f8676766874374150cf107db384fc50d8c287d74ee59d4d638e4e,c-01,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,depreciation_expense,True,True,True,True,ferc_migrated,,,,
raw-forwardhaul_throughput-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,forwardhaul_throughput,Forwardhaul volume of throughput,ferc:ForwardhaulVolumeOfThroughput,ForwardhaulVolumeOfThroughput,Forwardhaul Volume of Throughput,,taxonomy standard label linkbase,Form 2 p.521-M1 line 66 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system,870207162,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),undim (filed undimensioned total),,raw,,,,eCollection / eForms XBRL,0380d8c7f9939cd9d3bfb4eb13176bd9e43dfad26627df84ba1a40b892ad6046,c-01,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,forwardhaul_throughput,True,True,True,True,ferc_migrated,,,,
raw-gas_losses_and_unaccounted_for-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_losses_and_unaccounted_for,Gas losses and gas unaccounted for (gas account),ferc:GasAccountGasLossesAndGasUnaccountedForGasAccount,GasAccountGasLossesAndGasUnaccountedForGasAccount,"Gas Account, Gas Losses and Gas Unaccounted for Gas Account",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 42 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - loss/unaccounted component of the delivery side,251021,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,eCollection / eForms XBRL,f0bbfbfcefb20ffcf24054ab83a3c058d0e943b60f267182938b79c1aa1a86c0,c-156,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_losses_and_unaccounted_for,True,True,True,True,ferc_migrated,,,,
raw-gas_of_others_received_for_transmission-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_of_others_received_for_transmission,Gas of others received for transmission (Account 489.2),ferc:QuantityOfNaturalGasReceivedByUtilityGasOfOthersReceivedForTransmission,QuantityOfNaturalGasReceivedByUtilityGasOfOthersReceivedForTransmission,"Quantity of Natural Gas Received by Utility, Gas of Others Received for Transmission",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 3 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - receipt-side third-party component,849989226,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,eCollection / eForms XBRL,b55327ab50add118a50f594cad8a2eae5d93acf3d64d1d127491e6b6c33ad899,c-156,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_of_others_received_for_transmission,True,True,True,True,ferc_migrated,,,,
raw-gas_operating_revenues-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_operating_revenues,Gas operating revenues,ferc:OperatingRevenues,OperatingRevenues,Operating Revenues,,taxonomy standard label linkbase,Form 2 p.114 line 2 / p.300-301 / Form 3-Q,300-301,quarter (also YTD),2016-01-01,2016-03-31,,"filing entity, whole entity",391223090,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,eCollection / eForms XBRL,89f62268c1d5683af4af3766b876c3dfed4f89ff6336d3109e2d043236b9ab19,c-01,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_operating_revenues,True,True,True,True,ferc_migrated,,,,
raw-gas_plant_in_service-Form3QGas-2016Q1-instant,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_plant_in_service,Gas plant in service (period-end balance),ferc:GasPlantInService,GasPlantInService,Gas Plant in Service,,taxonomy standard label linkbase,Form 2 p.200-204 / Form 3-Q,,instant,,,2016-03-31,filing entity,7864394863,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,eCollection / eForms XBRL,269924877493068da3231ce8cfaa647148d54cb103e71d0ab3dafb544faf6362,c-02,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_plant_in_service,True,True,True,True,ferc_migrated,,,,
raw-maintenance_expense-Form3QGas-2016Q1-quarter,C000020,"Tennessee Gas Pipeline Company, L.L.C.",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,maintenance_expense,Maintenance expense,ferc:MaintenanceExpense,MaintenanceExpense,Maintenance Expense,,taxonomy standard label linkbase,Form 2 p.317-325 / Form 3-Q,317-325,quarter (also YTD),2016-01-01,2016-03-31,,filing entity,13443575,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,eCollection / eForms XBRL,51e44d9ebbc340331de77ff79b916c3bcf8b6096d015a015a0dfb156885e0d3b,c-01,1,29097,2016-05-27T13:58:22Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,maintenance_expense,True,True,True,True,ferc_migrated,,,,
