canonical_row_id,filer_cid,filer_legal_name,asset_mapping,period_label,reporting_year,reporting_quarter,form,metric_id,controlled_display_label,concept_qname,concept_local_name,taxonomy_label,rendered_schedule_label,label_source,schedule_or_page,taxonomy_page_range,period_type,period_start,period_end,instant_date,regulatory_scope,value,normalized_iso_date,unit_filed,unit_rule,dimension_selector,dimensions_json,raw_or_derived,derivation,derived_metric_row_id,derivation_type,source_fact_id,source_context_id,source_candidate_count,filing_id,submitted_on,source_filing_canonical,input_version_status,data_origin,taxonomy_version,registry_rule_id,form_rule_pass,period_rule_pass,dimension_rule_pass,unit_rule_pass,qa_status,missing_reason,notes,input_count,derivation_inputs_available
raw-backhaul_throughput-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,backhaul_throughput,Backhaul volume of throughput,ferc:BackhaulVolumeOfThroughput,BackhaulVolumeOfThroughput,Backhaul Volume of Throughput,,taxonomy standard label linkbase,Form 2 p.521-M1 line 67 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system,217550096,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),undim (filed undimensioned total),,raw,,,,4dd2682e2f40a140eab09a62278fd7bb4cd10e3ea0043f0cbfde5cf6ccd0d261,c-01,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,backhaul_throughput,True,True,True,True,ferc_migrated,,,,
raw-deliveries_of_gas_transported_for_others-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,deliveries_of_gas_transported_for_others,Deliveries of gas transported for others (Account 489.2),ferc:QuantityOfNaturalGasDeliveredByUtilityDeliveriesOfGasTransportedForOthers,QuantityOfNaturalGasDeliveredByUtilityDeliveriesOfGasTransportedForOthers,"Quantity of Natural Gas Delivered by Utility, Deliveries of Gas Transported for Others",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 27 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - delivery-side third-party component,1311637268,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,4b77df8b796293482c9f3526fef865fd4eb79dc509cdc9a3a053dde6460aaa2e,c-228,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,deliveries_of_gas_transported_for_others,True,True,True,True,ferc_migrated,,,,
raw-gas_account_balancing_total-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_account_balancing_total,"Deliveries, gas losses and unaccounted-for (gas account balancing total)",ferc:DeliveriesGasLossesAndUnaccountedForGasAccount,DeliveriesGasLossesAndUnaccountedForGasAccount,"Deliveries, Gas Losses and Unaccounted for Gas Account",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 44 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - balancing total; equals total gas received,1434743701,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,bfc0c80266d4cc11f49c8a51eba5611a8b8a30d41786668f5cf9cefcb1af716d,c-228,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_account_balancing_total,True,True,True,True,ferc_migrated,,,,
raw-depreciation_expense-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,depreciation_expense,Depreciation expense,ferc:DepreciationExpense,DepreciationExpense,Depreciation Expense,,taxonomy standard label linkbase,Form 2 p.336-338 / Form 3-Q,336-338,quarter (also YTD),2016-01-01,2016-03-31,,filing entity,65711495,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,0834e980640574d1af1952bea7d5cd78e0738d1cb686d75ec801ca65bdfc058f,c-01,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,depreciation_expense,True,True,True,True,ferc_migrated,,,,
raw-forwardhaul_throughput-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,forwardhaul_throughput,Forwardhaul volume of throughput,ferc:ForwardhaulVolumeOfThroughput,ForwardhaulVolumeOfThroughput,Forwardhaul Volume of Throughput,,taxonomy standard label linkbase,Form 2 p.521-M1 line 66 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system,1101200491,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),undim (filed undimensioned total),,raw,,,,8355ce0712bba7aaac614101c4641d4c98d63998192ced65fd93fc1e9404e4dc,c-01,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,forwardhaul_throughput,True,True,True,True,ferc_migrated,,,,
raw-gas_losses_and_unaccounted_for-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_losses_and_unaccounted_for,Gas losses and gas unaccounted for (gas account),ferc:GasAccountGasLossesAndGasUnaccountedForGasAccount,GasAccountGasLossesAndGasUnaccountedForGasAccount,"Gas Account, Gas Losses and Gas Unaccounted for Gas Account",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 42 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - loss/unaccounted component of the delivery side,2806830,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,8b20ba6d800bb23fa25c07aebfe8eaf4668bc7e6a0074e8dc3c30031b8c2a1ab,c-228,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_losses_and_unaccounted_for,True,True,True,True,ferc_migrated,,,,
raw-gas_of_others_received_for_transmission-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_of_others_received_for_transmission,Gas of others received for transmission (Account 489.2),ferc:QuantityOfNaturalGasReceivedByUtilityGasOfOthersReceivedForTransmission,QuantityOfNaturalGasReceivedByUtilityGasOfOthersReceivedForTransmission,"Quantity of Natural Gas Received by Utility, Gas of Others Received for Transmission",,p.520 system row; SystemNameAxis typed value '0' (single system filed),Form 2 p.520 line 3 / Form 3-Q,,quarter (also YTD),2016-01-01,2016-03-31,,system - receipt-side third-party component,1311637268,,ferc:dth,utr:dth | ferc:dth (migrated-era unit vocabulary),"typed-system (SystemNameAxis row, p.520)","[{""axis"": ""ferc:SystemNameAxis"", ""domain"": ""ferc:SystemNameDomain"", ""value"": ""0""}]",raw,,,,3a95c3d7d8cc5b4881c5e1d7303d92626011e0dbe3970da9dc16abbc1f6d8980,c-228,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_of_others_received_for_transmission,True,True,True,True,ferc_migrated,,,,
raw-gas_operating_revenues-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_operating_revenues,Gas operating revenues,ferc:OperatingRevenues,OperatingRevenues,Operating Revenues,,taxonomy standard label linkbase,Form 2 p.114 line 2 / p.300-301 / Form 3-Q,300-301,quarter (also YTD),2016-01-01,2016-03-31,,"filing entity, whole entity",408876101,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,2561eecbdae4f6b463a11eac7a4b62533eeb5087425c1a7c01328d22cac75fc1,c-01,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_operating_revenues,True,True,True,True,ferc_migrated,,,,
raw-gas_plant_in_service-Form3QGas-2016Q1-instant,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,gas_plant_in_service,Gas plant in service (period-end balance),ferc:GasPlantInService,GasPlantInService,Gas Plant in Service,,taxonomy standard label linkbase,Form 2 p.200-204 / Form 3-Q,,instant,,,2016-03-31,filing entity,10761273381,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,d4681b10d03d8cfb22433c99583546bc01622cb9956544e9fd0112b643e49454,c-02,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,gas_plant_in_service,True,True,True,True,ferc_migrated,,,,
raw-maintenance_expense-Form3QGas-2016Q1-quarter,C000654,"Transcontinental Gas Pipe Line Company, LLC",one FERC filing entity mapped to one system-level asset row in the current project roster,2016Q1,2016,Q1,Form 3Q Gas,maintenance_expense,Maintenance expense,ferc:MaintenanceExpense,MaintenanceExpense,Maintenance Expense,,taxonomy standard label linkbase,Form 2 p.317-325 / Form 3-Q,317-325,quarter (also YTD),2016-01-01,2016-03-31,,filing entity,5890098,,iso4217:USD,iso4217:USD,undim (filed undimensioned total),,raw,,,,c84ed24b4b8b60454a2269b4b6f8cd1160dbb73bfd4dc9ce07af874122c00559,c-01,1,29088,2016-05-19T08:09:34Z,True,,ferc_migrated,http://ferc.gov/form/2021-01-01/ferc,maintenance_expense,True,True,True,True,ferc_migrated,,,,
